index,English Word,Valence,Arousal,Dominance,Turkish Word,Joy,Anger,Sadness,Fear,Disgust
0,aaaaaaah,0.479,0.606,0.291,aaaaaaah,2.36,1.49,1.45,1.62,1.38
1,aaaah,0.52,0.636,0.282,aaaah,2.48,1.41,1.38,1.5,1.34
2,aardvark,0.427,0.49,0.437,yerdomuzu,2.56,1.32,1.3,1.37,1.29
3,aback,0.385,0.407,0.288,şaşırmak,1.92,1.43,1.38,1.46,1.42
4,abacus,0.51,0.276,0.485,abaküs,1.82,1.38,1.33,1.4,1.39
5,abalone,0.5,0.48,0.412,deniz kulağı,2.1,1.36,1.32,1.38,1.36
6,abandon,0.052,0.519,0.245,terk etmek,1.31,2.29,2.18,2.29,2.27
7,abandoned,0.046,0.481,0.13,terk edilmiş,1.24,2.36,2.37,2.35,2.32
8,abandonment,0.128,0.43,0.202,terk etme,1.23,2.42,2.5,2.51,2.25
9,abashed,0.177,0.644,0.307,utanmış,1.73,1.45,1.41,1.46,1.48
10,abate,0.255,0.696,0.604,hafifletmek,1.64,1.55,1.5,1.54,1.58
11,abatement,0.388,0.338,0.336,azaltma,1.4,2.05,1.98,2.0,2.08
12,abba,0.562,0.5,0.48,abba,1.97,1.39,1.35,1.43,1.37
13,abbey,0.58,0.367,0.444,manastır,2.09,1.34,1.3,1.36,1.33
14,abbot,0.427,0.321,0.483,başrahip,1.72,1.4,1.36,1.4,1.43
15,abbreviate,0.531,0.375,0.33,kısaltmak,1.7,1.49,1.45,1.49,1.51
16,abbreviation,0.469,0.306,0.345,kısaltma,1.78,1.4,1.35,1.41,1.42
17,abdomen,0.469,0.462,0.471,karın,1.8,1.41,1.36,1.43,1.42
18,abdominal,0.49,0.456,0.445,karın,1.64,1.57,1.52,1.55,1.63
19,abduct,0.173,0.72,0.615,kaçırmak,1.18,2.82,2.68,3.14,2.38
20,abduction,0.062,0.99,0.673,kaçırma,1.17,2.66,2.77,2.91,2.33
21,aberrant,0.146,0.765,0.431,anormal,1.33,2.19,2.19,2.21,2.15
22,aberration,0.125,0.816,0.417,sapma,1.47,1.92,1.94,1.92,1.91
23,abeyance,0.33,0.51,0.292,bekleme,1.65,1.55,1.54,1.56,1.57
24,abhor,0.125,0.602,0.349,iğrenmek,1.4,1.95,1.79,1.77,2.19
25,abhorrence,0.167,0.684,0.42,tiksinme,1.27,2.35,2.2,2.29,2.38
26,abhorrent,0.229,0.75,0.474,iğrenç,1.21,2.49,2.45,2.48,2.44
27,abide,0.635,0.354,0.705,uymak,1.84,1.38,1.33,1.39,1.4
28,abiding,0.796,0.327,0.75,sadık,2.11,1.34,1.31,1.37,1.33
29,ability,0.875,0.51,0.816,kabiliyet,2.93,1.27,1.26,1.34,1.21
30,abject,0.354,0.59,0.417,sefil,1.47,1.77,1.82,1.77,1.82
31,ablation,0.418,0.5,0.5,ablasyon,1.4,2.14,2.06,2.29,1.96
32,ablaze,0.24,0.847,0.525,alev alev yanmak,1.78,1.74,1.58,1.92,1.56
33,able,0.786,0.5,0.81,hünerli,2.78,1.22,1.21,1.27,1.17
34,abnormal,0.137,0.604,0.309,Anormal,1.28,2.32,2.31,2.4,2.19
35,abnormality,0.092,0.655,0.383,anormallik,1.28,2.32,2.34,2.38,2.21
36,aboard,0.698,0.284,0.481,gemide,1.84,1.4,1.35,1.42,1.4
37,abode,0.62,0.302,0.5,mesken,1.9,1.35,1.3,1.36,1.35
38,abolish,0.448,0.615,0.529,ortadan kaldırmak,1.39,2.01,1.89,1.9,2.13
39,abolition,0.323,0.69,0.529,kaldırılması,1.5,1.87,1.75,1.84,1.87
40,abominable,0.12,0.731,0.482,iğrenç,1.24,2.43,2.41,2.46,2.35
41,abominate,0.198,0.788,0.366,iğrenç,1.35,2.09,1.98,1.96,2.22
42,abomination,0.078,0.755,0.518,iğrenç,1.22,2.52,2.56,2.65,2.29
43,aboriginal,0.448,0.427,0.542,yerli,2.08,1.38,1.34,1.41,1.36
44,abort,0.153,0.686,0.429,iptal etmek,1.29,2.43,2.39,2.62,2.16
45,abortion,0.082,0.77,0.283,kürtaj,1.42,2.11,2.04,2.12,2.07
46,abortive,0.09,0.776,0.28,kürtaj,1.42,2.04,2.1,2.1,1.96
47,abound,0.704,0.49,0.681,bol,2.63,1.35,1.33,1.42,1.3
48,abovementioned,0.541,0.298,0.509,yukarıda belirtilen,1.79,1.41,1.36,1.42,1.42
49,abracadabra,0.673,0.632,0.434,abrakadabra,1.92,1.43,1.39,1.48,1.41
50,abrasion,0.406,0.592,0.441,aşınma,1.36,2.22,2.1,2.24,2.16
51,abrasive,0.392,0.61,0.593,aşındırıcı,1.25,2.4,2.25,2.36,2.39
52,abreast,0.635,0.38,0.519,yan yana,1.78,1.41,1.36,1.42,1.43
53,abroad,0.677,0.596,0.561,yurt dışı,1.82,1.42,1.37,1.43,1.43
54,abrogate,0.327,0.51,0.594,yürürlükten kaldırmak,1.54,1.74,1.69,1.71,1.78
55,abrupt,0.271,0.819,0.545,ani,1.3,2.4,2.36,2.64,2.12
56,abruptly,0.25,0.808,0.556,aniden,1.45,1.99,1.96,2.07,1.9
57,abscess,0.154,0.451,0.349,apse,1.26,2.22,2.31,2.17,2.29
58,absence,0.153,0.235,0.266,yokluk,1.42,1.9,1.98,1.9,1.92
59,absent,0.177,0.221,0.116,mevcut olmayan,1.37,1.95,2.07,1.95,1.97
60,absentee,0.235,0.33,0.279,devamsızlık,1.43,1.89,1.78,1.74,2.09
61,absenteeism,0.404,0.273,0.357,devamsızlık,1.2,2.34,2.35,2.26,2.44
62,absinthe,0.481,0.51,0.462,absinthe,1.69,1.76,1.62,1.89,1.63
63,absolute,0.526,0.51,0.827,mutlak,2.13,1.41,1.36,1.47,1.37
64,absolution,0.715,0.5,0.664,bağışlanma,3.05,1.26,1.28,1.33,1.22
65,absolve,0.684,0.449,0.66,aklamak,1.97,1.35,1.32,1.37,1.36
66,absorb,0.469,0.558,0.67,absorbe etmek,1.98,1.35,1.31,1.38,1.35
67,absorbed,0.49,0.471,0.519,emilen,2.04,1.36,1.33,1.39,1.36
68,absorbent,0.552,0.394,0.718,emici,1.8,1.42,1.37,1.43,1.42
69,absorbing,0.49,0.49,0.578,Sürükleyici,2.39,1.37,1.35,1.43,1.34
70,absorption,0.609,0.422,0.446,emilim,2.1,1.38,1.35,1.42,1.37
71,abstain,0.385,0.385,0.427,çekimser kalmak,1.67,1.49,1.37,1.41,1.64
72,abstention,0.271,0.264,0.509,çekimser kalma,1.62,1.58,1.48,1.51,1.7
73,abstinence,0.26,0.392,0.429,yoksunluk,1.71,1.55,1.4,1.46,1.69
74,abstract,0.438,0.292,0.444,Öz,1.85,1.41,1.36,1.43,1.4
75,abstraction,0.469,0.439,0.525,soyutlama,2.03,1.44,1.41,1.44,1.45
76,absurd,0.188,0.656,0.284,absürt,1.55,1.85,1.77,1.86,1.85
77,absurdity,0.115,0.528,0.227,saçmalık,1.51,2.0,1.84,1.92,2.08
78,abundance,0.812,0.69,0.852,bolluk,3.32,1.26,1.27,1.36,1.19
79,abundant,0.958,0.59,0.76,bolluk,3.36,1.24,1.26,1.32,1.17
80,abuse,0.071,0.873,0.469,taciz,1.14,2.61,2.98,2.83,2.38
81,abused,0.021,0.874,0.235,suistimal edilmiş,1.12,2.63,2.82,2.75,2.44
82,abusive,0.125,0.903,0.567,küfürlü,1.12,2.67,2.74,2.71,2.62
83,abutment,0.5,0.265,0.616,dayanak,1.74,1.4,1.35,1.4,1.42
84,aby,0.385,0.452,0.368,uçurum,1.82,1.55,1.46,1.6,1.5
85,abysmal,0.25,0.71,0.598,dipsiz,1.29,2.12,2.15,2.07,2.2
86,abyss,0.353,0.725,0.296,Uçurum,1.4,2.16,2.1,2.29,2.02
87,academic,0.781,0.42,0.812,akademik,2.98,1.27,1.28,1.33,1.23
88,academy,0.704,0.473,0.792,akademi,2.18,1.36,1.32,1.39,1.34
89,accede,0.698,0.51,0.537,katılmak,1.75,1.4,1.35,1.41,1.43
90,accelerant,0.643,0.844,0.802,hızlandırıcı,1.64,1.73,1.59,1.8,1.66
91,accelerate,0.615,0.902,0.759,hızlanmak,2.72,1.36,1.33,1.43,1.3
92,accelerated,0.61,0.812,0.682,hızlandırılmış,2.71,1.43,1.38,1.55,1.32
93,acceleration,0.704,0.905,0.843,hızlanma,2.64,1.57,1.51,1.7,1.43
94,accelerator,0.593,0.83,0.812,gaz pedalı,1.85,1.4,1.34,1.42,1.4
95,accent,0.598,0.357,0.509,Aksan,2.76,1.26,1.27,1.31,1.23
96,accentuate,0.673,0.556,0.667,vurgulamak,2.59,1.32,1.3,1.37,1.29
97,accept,0.847,0.286,0.565,kabul,2.14,1.34,1.31,1.36,1.34
98,acceptable,0.812,0.286,0.583,kabul edilebilir,2.91,1.24,1.25,1.29,1.21
99,acceptance,0.833,0.287,0.755,kabul,3.02,1.27,1.27,1.34,1.22
100,acceptances,0.847,0.413,0.648,kabuller,2.13,1.41,1.37,1.45,1.38
101,access,0.714,0.472,0.567,erişim,2.1,1.36,1.32,1.4,1.34
102,accessible,0.796,0.41,0.645,erişilebilir,3.17,1.22,1.24,1.28,1.17
103,accession,0.612,0.383,0.636,katılım,1.78,1.39,1.34,1.4,1.41
104,accessory,0.562,0.292,0.445,aksesuar,2.06,1.36,1.32,1.39,1.35
105,accident,0.125,0.908,0.336,kaza,1.13,2.73,2.85,3.01,2.36
106,accidental,0.319,0.784,0.307,tesadüfi,1.53,2.0,1.99,2.18,1.79
107,accidentally,0.333,0.741,0.333,kazara,1.68,2.2,2.18,2.31,2.01
108,acclaim,0.562,0.809,0.718,beğeni,2.9,1.32,1.3,1.4,1.24
109,accolade,0.688,0.591,0.775,övgü,2.75,1.3,1.28,1.36,1.25
110,accommodate,0.844,0.375,0.566,Karşılamak,2.5,1.29,1.28,1.33,1.28
111,accommodation,0.817,0.415,0.587,konaklama,3.14,1.24,1.25,1.3,1.2
112,accompaniment,0.74,0.479,0.695,eşlik,2.72,1.29,1.28,1.34,1.26
